Batch_ID,Supplier_Name,Shift_Supervisor,Ambient_Humidity,Flour_Moisture_Base,Mix_Time_Mins,Conveyor_Speed_RPM,Oven_Zone3_Temp,Batch_Status
BATCH_0001,Supplier_A,Maam_Joy,74.72213077506545,14.147055716683768,16,49,178.53860993606423,0
BATCH_0002,Supplier_C,Sir_Manny,60.102256404022356,12.901345330404387,16,45,178.68784171619646,0
BATCH_0003,Supplier_C,Sir_Manny,76.87598751277272,12.748846643715929,18,48,180.66697574690536,0
BATCH_0004,Supplier_B,Maam_Joy,66.64706807752745,15.65580724343268,15,41,178.63464075264363,0
BATCH_0005,Supplier_A,Sir_Manny,56.93690437195529,13.105225123400693,11,54,179.60107881085565,0
BATCH_0006,Supplier_A,Sir_Manny,90.10027783514289,12.713452795756703,17,43,180.10215863094976,0
BATCH_0007,Supplier_A,Maam_Joy,78.73514365537865,12.454767634936902,17,41,178.3178949053272,0
BATCH_0008,Supplier_C,Sir_Manny,87.44600047922134,14.145062072285363,15,53,,0
BATCH_0009,Supplier_B,Sir_Manny,80.01407218549036,14.295217291203965,18,45,179.67543133540454,0
BATCH_0010,Supplier_C,Maam_Joy,68.20839660918418,13.347774158960162,13,40,178.09269458795086,0
BATCH_0011,Supplier_A,Sir_Manny,73.96945867616603,13.404478973048016,12,46,180.195225650164,0
BATCH_0012,Supplier_C,Sir_Jun,80.00263013284555,14.10776573080187,20,55,180.3958010052175,0
BATCH_0013,Supplier_C,Sir_Jun,90.52933603245319,13.392282099614448,17,46,180.1846767292337,0
BATCH_0014,Supplier_A,Sir_Jun,64.38576998750277,14.906432267299575,12,46,180.50431149147644,0
BATCH_0015,Supplier_A,Sir_Manny,87.37415116909236,13.580256344432538,20,53,168.27004793144422,1
BATCH_0016,Supplier_A,Sir_Jun,89.19087879588797,14.137070860174992,13,43,180.7301521140622,0
BATCH_0017,Supplier_A,Sir_Jun,79.80537404238139,13.983143914742644,11,54,179.05413779396795,0
BATCH_0018,Supplier_B,Sir_Jun,89.4568652138495,14.478131607845178,16,47,178.60317319109708,0
BATCH_0019,Supplier_A,Sir_Manny,69.72150773666263,13.147817408387722,12,44,178.83867839001252,0
BATCH_0020,Supplier_A,Maam_Joy,90.26159851349638,13.699178357139932,21,41,,0
BATCH_0021,Supplier_B,Sir_Jun,81.00296645514106,14.806059238724364,16,44,182.02195615359514,0
BATCH_0022,Supplier_A,Maam_Joy,56.55421339449604,13.156448371124084,15,51,179.19668762167748,0
BATCH_0023,Supplier_A,Maam_Joy,88.55429477730496,13.599803319570393,19,49,179.47822907440917,0
BATCH_0024,Supplier_A,Maam_Joy,72.92549393422813,14.241722986955757,17,48,179.765689669103,0
BATCH_0025,Supplier_A,Maam_Joy,72.03209843677982,14.741968643441806,18,49,179.64325200876212,0
BATCH_0026,Supplier_C,Sir_Manny,75.95926442124647,14.012621592209653,12,40,181.81521005603753,0
BATCH_0027,Supplier_A,Maam_Joy,60.527228230535435,14.617655811828168,19,50,178.27439511762054,0
BATCH_0028,Supplier_B,Sir_Manny,72.35914379699375,14.122375473276126,16,41,182.18537173328494,0
BATCH_0029,Supplier_B,Maam_Joy,85.75170701855659,14.921129351235576,18,55,180.14469421319308,0
BATCH_0030,Supplier_A,Sir_Manny,55.57285098808807,14.303111705148764,10,49,180.96148565070916,0
BATCH_0031,Supplier_B,Maam_Joy,65.09793493200173,13.962200000216802,19,47,180.0203690549463,0
BATCH_0032,Supplier_A,Sir_Manny,55.09081969842224,13.208645932772994,18,52,180.81526910150157,0
BATCH_0033,Supplier_A,Sir_Jun,70.38131843854438,14.54274285710115,16,44,179.0556404094546,0
BATCH_0034,Supplier_C,Sir_Jun,81.94767388826818,12.914940686527837,19,51,178.64502722928657,0
BATCH_0035,Supplier_C,Sir_Manny,84.55455767724126,12.695321980406574,13,48,182.59312101769615,0
BATCH_0036,Supplier_C,Sir_Manny,89.97202116169925,14.416788944183708,23,45,,0
BATCH_0037,Supplier_A,Sir_Manny,77.5146706799191,14.218057934988263,15,52,178.94622164537003,0
BATCH_0038,Supplier_A,Sir_Jun,64.42119406615713,13.759272146390261,20,55,180.71654715273445,0
BATCH_0039,Supplier_B,Maam_Joy,89.19347411805786,14.472573547212503,22,47,181.15787691447565,0
BATCH_0040,Supplier_A,Maam_Joy,83.68668289357392,13.236885296637011,15,54,180.66018823985794,0
